"AGRI/
PLUMBING & SANITATION",Product Segment,Material Group Description,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder,Sales Observations,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2668,"28.6X15.9MM(1X1/2"")CPVC BRASS MTA (P75)",No.s,238.00,PRICE PER NO.,REDUCING BRASS MALE THREADED ADAPTOR (M.T.A.),75,CPVC REDUCING MALE THREADED ADAPTER (M.T.A.) - BRASS INSERT,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3389,"28.6X22.2MM(1X3/4"")CPVC BRASS MTA (P80)",No.s,229.50,PRICE PER NO.,REDUCING BRASS MALE THREADED ADAPTOR (M.T.A.),80,CPVC REDUCING MALE THREADED ADAPTER (M.T.A.) - BRASS INSERT,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4568,"34.9X15.9MM(11/4X1/2"") CPVC R.TEE (P30)",No.s,137.50,PRICE PER NO.,REDUCING TEE,30,CPVC REDUCING TEE,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2888,"34.9X22.2MM(11/4X3/4"") CPVC R.TEE (P25)",No.s,158.00,PRICE PER NO.,REDUCING TEE,25,CPVC REDUCING TEE,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4569,"41.3X15.9MM(11/2X1/2"") CPVC R.TEE (P20)",No.s,221.00,PRICE PER NO.,REDUCING TEE,20,CPVC REDUCING TEE,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2899,"41.3X22.2MM(11/2X3/4"") CPVC R.TEE (P20)",No.s,215.50,PRICE PER NO.,REDUCING TEE,20,CPVC REDUCING TEE,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4577,"41.3X34.9MM(11/2X11/4"")CPVC R.TEE (P20)",No.s,210.50,PRICE PER NO.,REDUCING TEE,20,CPVC REDUCING TEE,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4559,"15.9X15.9MM(1/2X1/2"")CPVC TEE HOLDER(P150)",No.s,17.50,PRICE PER NO.,TEE HOLDER ,150,CPVC TEE HOLDER,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4566,"22.2X15.9MM(3/4X1/2"")CPVC TEE HOLDER(P105)",No.s,22.50,PRICE PER NO.,TEE HOLDER ,105,CPVC TEE HOLDER,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4469,"22.2X15.9MM(3/4X1/2"")CPVC ALL TOP 6""MIXER (P6)",No.s,402.00,PRICE PER NO.,ALL TOP MIXER,6,CPVC ALL TOP 6_ MIXER,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4466,"22.2X15.9MM(3/4X1/2"")CPVC ALL TOP 7""MIXER (P6)",No.s,418.00,PRICE PER NO.,ALL TOP MIXER,6,CPVC ALL TOP 7 MIXER,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4477,"22.2X15.9MM(3/4X1/2"")CPVC TOP BOTTOM 6"" MIX (P6)",No.s,402.00,PRICE PER NO.,TOP BOTTOM MIXER,6,CPVC TOP BOTTOM 6_ MIXER,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2567,"22.2X15.9MM(3/4X1/2"")CPVC TOP BOTTOM 7"" MIX (P6)",No.s,418.00,PRICE PER NO.,TOP BOTTOM MIXER,6,CPVC TOP BOTTOM 7_ MIXER,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2566,"22.2X15.9MM(3/4X1/2"") CPVC TOP SIDE 6""MIX (P6)",No.s,402.00,PRICE PER NO.,TOP SIDE MIXER,6,CPVC TOP SIDE 6_ MIXER,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2568,"22.2X15.9MM(3/4X1/2"") CPVC TOP SIDE 7""MIX (P6)",No.s,418.00,PRICE PER NO.,TOP SIDE MIXER,6,CPVC TOP SIDE 7_ MIXER,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4458,"22.2X15.9MM(3/4X1/2"") CPVC HU CD 6"" MIXER (P6)",No.s,402.00,PRICE PER NO.,HOT UP COLD DOWN MIXER,6,CPVC HOT UP COLD DOWN  6_ MIXER,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4467,"22.2X15.9MM(3/4X1/2"") CPVC HU CD 7"" MIXER (P6)",No.s,418.00,PRICE PER NO.,HOT UP COLD DOWN MIXER,6,CPVC HOT UP COLD DOWN 7_ MIXER,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4459,"22.2X15.9MM(3/4X1/2"") CPVC HS CD 6"" MIXER (P6)",No.s,402.00,PRICE PER NO.,HOT SIDE COLD DOWN MIXER,6,CPVC HOT SIDE COLD DOWN  7_ MIXER,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4468,"22.2X15.9MM(3/4X1/2"") CPVC HS CD 7"" MIXER (P6)",No.s,418.00,PRICE PER NO.,HOT SIDE COLD DOWN MIXER,6,CPVC HOT SIDE COLD DOWN 6 MIXER,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1112,"150MM(6"") CPVC 90° ELBOW SH40  (P1)",No.s,3856.00,PRICE PER NO.,ELBOW 90 DEG. SCH40,1,CPVC SCH 40 - ELBOW 90°,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1113,"150MM(6"") CPVC 45° ELBOW SH40  (P1)",No.s,4227.00,PRICE PER NO.,ELBOW 45 DEG. SCH40,1,CPVC SCH 40 - ELBOW 45°,Changes
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,UH1145,"73.02MM (21/2""X45°) ELBOW SH-80 (P16)",No.s,179.50,PRICE PER NO.,ELBOW 45 DEG,16,ASTM ELBOW 45°,Changes
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,UH1146,"88.90MM (3""X45°) ELBOW SH-80 (P10)",No.s,258.00,PRICE PER NO.,ELBOW 45 DEG,10,ASTM ELBOW 45°,Changes
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,UH1147,"114.30MM (4""X45°) ELBOW SH-80 (P6)",No.s,442.00,PRICE PER NO.,ELBOW 45 DEG,6,ASTM ELBOW 45°,Changes
COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1179,"40MM NB (11/2"") COLUMN PIPE (V4) (1.5 MTR)",MTR,368.50, PRICE PER MTR,V4 - COUPLER TYPE,30,COLUMN PIPE-COUPLER V4 15KG,Changes
COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1188,"40MM NB (11/2"") COLUMN PIPE (CRYSTAL)  (1.5 MTR)",MTR,426.00, PRICE PER MTR,CRYSTAL - COUPLER TYPE,30,COLUMN PIPE-COUPLER CRYSTAL,Changes
COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1222,"65 MM NB (21/2"") COLUMN PIPE (MEDIUM) (1.5 MTR)",MTR,643.50, PRICE PER MTR,MEDIUM - COUPLER TYPE,15,COLUMN PIPE-COUPLER MEDIUM,Changes
COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1224,"40 MM NB (11/2"") COLUMN PIPE (STANDARD) (1.5 MTR)",MTR,479.00, PRICE PER MTR,STANDARD - COUPLER TYPE,30,COLUMN PIPE-COUPLER STANDARD,Changes
COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1226,"65 MM NB (21/2"") COLUMN PIPE (STANDARD) (1.5 MTR)",MTR,811.00, PRICE PER MTR,STANDARD - COUPLER TYPE,15,COLUMN PIPE-COUPLER STANDARD,Changes
COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1228,"40 MM NB (11/2"") COLUMN PIPE (HEAVY) (1.5 MTR)",MTR,593.50, PRICE PER MTR,HEAVY - COUPLER TYPE ,22.5,COLUMN PIPE-OUPLER HEAVY,Changes
COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1233,"65 MM NB (21/2"") COLUMN PIPE (HEAVY) (1.5 MTR)",MTR,1078.00, PRICE PER MTR,HEAVY - COUPLER TYPE ,10.5,COLUMN PIPE-OUPLER HEAVY,Changes
