AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1126,32MM 8KG/CM2 SELFIT,MTR,74.5,PRICE PER MTR,SELFIT,90,0,AGRI SELFIT PIPE-8KG,1024
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1129,32MM 10KG/CM2 SELFIT,MTR,83,PRICE PER MTR,SELFIT,60,0,AGRI SELFIT PIPE-10KG,1025
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1223,32MM 12.5KG/CM2 SELFIT,MTR,103,PRICE PER MTR,SELFIT,6,0,AGRI SELFIT PIPE-12.5KG,1026
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1133,40MM 6KG/CM2 SELFIT (3 MTR),MTR,84,PRICE PER MTR,SELFIT,30,0,AGRI SELFIT PIPE-6KG,1027
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1149,40MM 8KG/CM2 SELFIT (3 MTR),MTR,106.5,PRICE PER MTR,SELFIT,3,0,AGRI SELFIT PIPE-8KG,1028
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1136,40MM 10KG/CM2 SELFIT ( 3 MTR ),MTR,123,PRICE PER MTR,SELFIT,30,0,AGRI SELFIT PIPE-10KG,1029
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1158,40MM 12.5KG/CM2 SELFIT (3 MTR),MTR,158.5,PRICE PER MTR,SELFIT,3,0,AGRI SELFIT PIPE-12.5KG,1030
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1134,40MM 6KG/CM2 SELFIT (5 MTR),MTR,84,PRICE PER MTR,SELFIT,50,0,AGRI SELFIT PIPE-6KG,1031
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1166,40MM 8KG/CM2 SELFIT (5 MTR),MTR,106.5,PRICE PER MTR,SELFIT,5,0,AGRI SELFIT PIPE-8KG,1032
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1147,40MM 10KG/CM2 SELFIT (5 MTR),MTR,123, PRICE PER MTR,SELFIT,50,0,AGRI SELFIT PIPE-10KG,1033
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1177,40MM 12.5KG/CM2 SELFIT (5 MTR),MTR,158.5,PRICE PER MTR,SELFIT,5,0,AGRI SELFIT PIPE-12.5KG,1034
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1135,40MM 6KG/CM2 SELFIT,MTR,84,PRICE PER MTR,SELFIT,60,0,AGRI SELFIT PIPE-6KG,1035
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1189,40MM 8KG/CM2 SELFIT,MTR,106.5,PRICE PER MTR,SELFIT,6,0,AGRI SELFIT PIPE-8KG,1036
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1137,40MM 10KG/CM2 SELFIT,MTR,123, PRICE PER MTR,SELFIT,60,0,AGRI SELFIT PIPE-10KG,1037
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1224,40MM 12.5KG/CM2 SELFIT,MTR,158.5,PRICE PER MTR,SELFIT,6,0,AGRI SELFIT PIPE-12.5KG,1038
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1138,50MM 6KG/CM2 SELFIT (3MTR),MTR,126, PRICE PER MTR,SELFIT,15,0,AGRI SELFIT PIPE-6KG,1039
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1155,50MM 8KG/CM2 SELFIT (3 MTR),MTR,169.5,PRICE PER MTR,SELFIT,3,0,AGRI SELFIT PIPE-8KG,1040
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1145,50MM 10KG/CM2 SELFIT ( 3 MTR ),MTR,199.5, PRICE PER MTR,SELFIT,15,0,AGRI SELFIT PIPE-10KG,1041
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1159,50MM 12.5KG/CM2 SELFIT (3 MTR ),MTR,241,PRICE PER MTR,SELFIT,3,0,AGRI SELFIT PIPE-12.5KG,1042
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1139,50MM 6KG/CM2 SELFIT (5 MTR),MTR,126, PRICE PER MTR,SELFIT,25,0,AGRI SELFIT PIPE-6KG,1043
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1167,50MM 8KG/CM2 SELFIT (5 MTR),MTR,169.5,PRICE PER MTR,SELFIT,5,0,AGRI SELFIT PIPE-8KG,1044
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1148,50MM 10KG/CM2 SELFIT (5 MTR),MTR,199.5, PRICE PER MTR,SELFIT,25,0,AGRI SELFIT PIPE-10KG,1045
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1178,50MM 12.5KG/CM2 SELFIT (5 MTR ),MTR,241,PRICE PER MTR,SELFIT,5,0,AGRI SELFIT PIPE-12.5KG,1046
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1144,50MM 6KG/CM2 SELFIT,MTR,126, PRICE PER MTR,SELFIT,60,0,AGRI SELFIT PIPE-6KG,1047
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1199,50MM 8KG/CM2 SELFIT,MTR,169.5,PRICE PER MTR,SELFIT,6,0,AGRI SELFIT PIPE-8KG,1048
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1146,50MM 10KG/CM2 SELFIT,MTR,199.5, PRICE PER MTR,SELFIT,30,0,AGRI SELFIT PIPE-10KG,1049
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1225,50MM 12.5KG/CM2 SELFIT,MTR,241,PRICE PER MTR,SELFIT,6,0,AGRI SELFIT PIPE-12.5KG,1050
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1111,63MM 4KG/CM2 SELFIT (3 MTR),MTR,139,PRICE PER MTR,SELFIT,3,2,AGRI SELFIT PIPE-4KG,1051
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1155,63MM 6KG/CM2 SELFIT (3 MTR),MTR,200,PRICE PER MTR,SELFIT,3,0,AGRI SELFIT PIPE-6KG,1052
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1159,63MM 8KG/CM2 SELFIT (3 MTR),MTR,257,PRICE PER MTR,SELFIT,3,0,AGRI SELFIT PIPE-8KG,1053
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1149,63MM 10KG/CM2 SELFIT (3 MTR),MTR,307.5,PRICE PER MTR,SELFIT,3,0,AGRI SELFIT PIPE-10KG,1054
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1168,63MM 12.5KG/CM2 SELFIT (3 MTR),MTR,381.5,PRICE PER MTR,SELFIT,3,0,AGRI SELFIT PIPE-12.5KG,1055
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1112,63MM 4KG/CM2 SELFIT (5 MTR),MTR,139,PRICE PER MTR,SELFIT,5,0,AGRI SELFIT PIPE-4KG,1056
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1145,63MM 6KG/CM2 SELFIT (5 MTR),MTR,200,PRICE PER MTR,SELFIT,5,0,AGRI SELFIT PIPE-6KG,1057
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1188,63MM 8KG/CM2 SELFIT (5 MTR),MTR,257,PRICE PER MTR,SELFIT,5,0,AGRI SELFIT PIPE-8KG,1058
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1223,63MM 10KG/CM2 SELFIT (5 MTR),MTR,307.5,PRICE PER MTR,SELFIT,5,0,AGRI SELFIT PIPE-10KG,1059
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1227,63MM 12.5KG/CM2 SELFIT (5 MTR),MTR,381.5,PRICE PER MTR,SELFIT,5,0,AGRI SELFIT PIPE-12.5KG,1060
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1113,63MM 4KG/CM2 SELFIT,MTR,139,PRICE PER MTR,SELFIT,6,0,AGRI SELFIT PIPE-4KG,1061
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1114,63MM 6KG/CM2 SELFIT,MTR,200,PRICE PER MTR,SELFIT,6,0,AGRI SELFIT PIPE-6KG,1062
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1234,63MM 8KG/CM2 SELFIT,MTR,257,PRICE PER MTR,SELFIT,6,0,AGRI SELFIT PIPE-8KG,1063
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1115,63MM 10KG/CM2 SELFIT,MTR,307.5,PRICE PER MTR,SELFIT,6,0,AGRI SELFIT PIPE-10KG,1064
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1237,63MM 12.5KG/CM2 SELFIT,MTR,381.5,PRICE PER MTR,SELFIT,6,0,AGRI SELFIT PIPE-12.5KG,1065
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1245,75MM 4KG/CM2 SELFIT (3 MTR),MTR,197,PRICE PER MTR,SELFIT,3,0,AGRI SELFIT PIPE-4KG,1066
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1116,75MM 4KG/CM2 SELFIT (5 MTR),MTR,197,PRICE PER MTR,SELFIT,5,0,AGRI SELFIT PIPE-4KG,1067
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1146,75MM 6KG/CM2 SELFIT (5 MTR),MTR,278.5,PRICE PER MTR,SELFIT,5,0,AGRI SELFIT PIPE-6KG,1068
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1189,75MM 8KG/CM2 SELFIT (5 MTR),MTR,353.5,PRICE PER MTR,SELFIT,5,0,AGRI SELFIT PIPE-8KG,1069
