Main Category,"AGRI/
PLUMBING & SANITATION",Product Segment,Material Group Description,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder,Sales Observations,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1166,"28.6MM (1"") CPVC 90° ELBOW  (P250)",No.s,41.00,PRICE PER NO.,ELBOW 90 DEG,250,CPVC ELBOW  90°,Material Description is not given in app,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1167,"34.9MM (11/4"") CPVC 90° ELBOW  (P135)",No.s,89.00,PRICE PER NO.,ELBOW 90 DEG,135,CPVC ELBOW  90°,Material Description is not given in app,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1168,"41.3MM (11/2"") CPVC 90° ELBOW  (P88)",No.s,166.50,PRICE PER NO.,ELBOW 90 DEG,88,CPVC ELBOW  90°,Material Description is not given in app,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2779,"54MM (2"") CPVC 90° ELBOW (P16)",No.s,327.50,PRICE PER NO.,ELBOW 90 DEG,16,CPVC ELBOW  90°,Material Description is not given in app,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1558,"34.9MM(11/4"")CPVC TANK NIPPLE SOC.(P45)",No.s,133.00,PRICE PER NO.,TANK NIPPLE SOCKET,45,CPVC TANK NIPPLE SOCKET END,Material description is not proper,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1679,"22.2X15.9MM (3/4X1/2"") CPVC BRASS TEE (P200)",No.s,94.00,PRICE PER NO.,REDUCING BRASS TEE,200,CPVC TEE - BRASS INSERT,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1688,"28.6X15.9MM(1X1/2"")CPVC BRASS TEE (P160)",No.s,161.00,PRICE PER NO.,REDUCING BRASS TEE,160,CPVC TEE - BRASS INSERT,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3379,28.6X22.2MM(1X3/4)CPVC BRASS TEE (P40),No.s,213.50,PRICE PER NO.,REDUCING BRASS TEE,40,CPVC TEE - BRASS INSERT,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4479,"34.9X15.9MM(11/4X1/2"")CPVC BRASS TEE(P24",No.s,273.50,PRICE PER NO.,REDUCING BRASS TEE,24,CPVC TEE - BRASS INSERT,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4477,"22.2X15.9MM(3/4X1/2)CPVC TOP BOTTOM 6"" MIX (P6)",No.s,402.00,PRICE PER NO.,TOP BOTTOM MIXER,6,CPVC TOP BOTTOM 6_ MIXER,Material description is not proper,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2567,"22.2X15.9MM(3/4X1/2)CPVC TOP BOTTOM 7"" MIX (P6)",No.s,418.00,PRICE PER NO.,TOP BOTTOM MIXER,6,CPVC TOP BOTTOM 7_ MIXER,Material description is not proper,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1112,"150MM(6"") CPVC 90° ELBOW SH40  (P1)",No.s,3856.00,PRICE PER NO.,ELBOW 90 DEG. SCH40,1,CPVC SCH 40 - ELBOW 90°,Material Description is not given in app,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1113,"150MM(6"") CPVC 45° ELBOW SH40  (P1)",No.s,4227.00,PRICE PER NO.,ELBOW 90 DEG. SCH40,1,CPVC SCH 40 - ELBOW 45°,Material Description is not given in app,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1116,"150X54MM(6""X2"")CPVC R.BUSH SH40  (P1)",No.s,1994.50,PRICE PER NO.,REDUCING BUSH SCH40,1,CPVC SCH 40 - REDUCER BUSH,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1117,"150X65MM(6""X21/2"")CPVC R.BUSH SH40 (P1)",No.s,1926.00,PRICE PER NO.,REDUCING BUSH SCH40,1,CPVC SCH 40 - REDUCER BUSH,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1118,"150X80MM(6""X3"") CPVC R.BUSH SH40  (P1)",No.s,1535.50,PRICE PER NO.,REDUCING BUSH SCH40,1,CPVC SCH 40 - REDUCER BUSH,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1119,"150X100MM(6""X4') CPVC R.BUSH SH40 (P1)",No.s,1553.50,PRICE PER NO.,REDUCING BUSH SCH40,1,CPVC SCH 40 - REDUCER BUSH,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1289,"65MM (21/2"") CPVC 90° ELBOW SH80 (P5)",No.s,964.50,PRICE PER NO.,ELBOW 90 DEG SCH 80,5,CPVC SCH 80 - ELBOW 90°,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1299,"80MM (3"") CPVC 90° ELBOW SH80 (P3)",No.s,1416.50,PRICE PER NO.,ELBOW 90 DEG SCH 80,3,CPVC SCH 80 - ELBOW 90°,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1288,"100MM (4"") CPVC 90° ELBOW SH80 (P2)",No.s,2407.50,PRICE PER NO.,ELBOW 90 DEG SCH 80,2,CPVC SCH 80 - ELBOW 90°,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1459,"65MM (21/2"") CPVC 45° ELBOW SH80 (P6)",No.s,840.50,PRICE PER NO.,ELBOW 45 DEG SCH 80,6,CPVC SCH 80 - ELBOW 45°,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1466,"80MM (3"") CPVC 45° ELBOW SH80 (P4)",No.s,1194.50,PRICE PER NO.,ELBOW 45 DEG SCH 80,4,CPVC SCH 80 - ELBOW 45°,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1458,"100MM (4"") CPVC 45° ELBOW SH80 (P2)",No.s,2162.50,PRICE PER NO.,ELBOW 45 DEG SCH 80,2,CPVC SCH 80 - ELBOW 45°,Changes,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1148,"65MM (21/2"") CPVC F.T.A. SH80  (P12)",No.s,389.00,PRICE PER NO.,FEMALE THREADED ADAPTOR (F.T.A.) SCH 80,12,CPVC SCH 80 - FEMALE THREADED ADAPTER (F.T.A),Spelling Mistake,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1499,"80MM (3"") CPVC F.T.A. SH80 (P6)",No.s,632.50,PRICE PER NO.,FEMALE THREADED ADAPTOR (F.T.A.) SCH 80,6,CPVC SCH 80 - FEMALE THREADED ADAPTER (F.T.A),Spelling Mistake,
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1489,"100MM (4"") CPVC F.T.A. SH80 (P3)",No.s,1052.00,PRICE PER NO.,FEMALE THREADED ADAPTOR (F.T.A.) SCH 80,3,CPVC SCH 80 - FEMALE THREADED ADAPTER (F.T.A),Spelling Mistake,
METAL ACCESSORIES,PLUMBING & SANITATION,FITTINGS,METAL ACCESSORIES,MA1116,"15.9MM(1/2"")METAL CLAMP CPVCPIPE (P800)",No.s,16.50,PRICE PER NO.,METAL CLAMP CPVC PIPE,800,METAL CLAMP - CPVC,Changes,
METAL ACCESSORIES,PLUMBING & SANITATION,FITTINGS,METAL ACCESSORIES,MA1117,"22.2MM(3/4"") METAL CLAMP CPVC (P500)",No.s,19.50,PRICE PER NO.,METAL CLAMP CPVC PIPE,500,METAL CLAMP - CPVC,Changes,
METAL ACCESSORIES,PLUMBING & SANITATION,FITTINGS,METAL ACCESSORIES,MA1118,"28.6MM(1"")METAL CLAMP CPVC PIPE (P400)",No.s,20.50,PRICE PER NO.,METAL CLAMP CPVC PIPE,400,METAL CLAMP - CPVC,Changes,
METAL ACCESSORIES,PLUMBING & SANITATION,FITTINGS,METAL ACCESSORIES,MA1119,"34.9MM(11/4"") METAL CLAMP CPVC (P300)",No.s,22.50,PRICE PER NO.,METAL CLAMP CPVC PIPE,300,METAL CLAMP - CPVC,Changes,
METAL ACCESSORIES,PLUMBING & SANITATION,FITTINGS,METAL ACCESSORIES,MA1122,"41.3MM(11/2"") METAL CLAMP CPVC (P250)",No.s,28.00,PRICE PER NO.,METAL CLAMP CPVC PIPE,250,METAL CLAMP - CPVC,Changes,
METAL ACCESSORIES,PLUMBING & SANITATION,FITTINGS,METAL ACCESSORIES,MA1123,"54.0MM(2"") METAL CLAMP CPVC (P200)",No.s,29.00,PRICE PER NO.,METAL CLAMP CPVC PIPE,200,METAL CLAMP - CPVC,Changes,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1234,"21.34MM(1/2"")THRD. ELBOW SH80(P405)",No.s,14.50,PRICE PER NO.,90 DEG. THRAEDED ELBOW,405,ASTM ELBOW 90° - THREADED,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1235,"26.67MM(3/4"")THRD. ELBOW SH80(P105)",No.s,22.50,PRICE PER NO.,90 DEG. THRAEDED ELBOW,105,ASTM ELBOW 90° - THREADED,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1236,"33.40MM(1"")THRD. ELBOW SH80(P60)",No.s,40.00,PRICE PER NO.,90 DEG. THRAEDED ELBOW,60,ASTM ELBOW 90° - THREADED,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1237,"42.16MM (11/4"")THRD. ELBOW SH80(P32)",No.s,60.00,PRICE PER NO.,90 DEG. THRAEDED ELBOW,32,ASTM ELBOW 90° - THREADED,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1238,"48.26MM(11/2"")THRD. ELBOW SH80(P24)",No.s,79.50,PRICE PER NO.,90 DEG. THRAEDED ELBOW,24,ASTM ELBOW 90° - THREADED,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1239,"60.32MM(2"")THRD. ELBOW SH80(P14)",No.s,122.00,PRICE PER NO.,90 DEG. THRAEDED ELBOW,14,ASTM ELBOW 90° - THREADED,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1244,"21.34MM (1/2""X45°) ELBOW SH-80 (P420)",No.s,12.00,PRICE PER NO.,ELBOW 45 DEG,420,ASTM ELBOW 45°,Material Description is not given in app,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1245,"26.67MM (3/4""X45°) ELBOW SH-80 (P280)",No.s,18.00,PRICE PER NO.,ELBOW 45 DEG,280,ASTM ELBOW 45°,Material Description is not given in app,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1246,"33.40 (1""X45°) ELBOW SH-80 (P160)",No.s,27.50,PRICE PER NO.,ELBOW 45 DEG,160,ASTM ELBOW 45°,Material Description is not given in app,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1247,"42.16MM (11/4""X45°) ELBOW SH-80 (P40)",No.s,42.00,PRICE PER NO.,ELBOW 45 DEG,40,ASTM ELBOW 45°,Material Description is not given in app,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1248,"48.26MM (11/2""X45°) ELBOW SH-80 (P64)",No.s,55.00,PRICE PER NO.,ELBOW 45 DEG,64,ASTM ELBOW 45°,Material Description is not given in app,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1249,"60.32MM (2""X45°) ELBOW SH-80 (P15)",No.s,87.50,PRICE PER NO.,ELBOW 45 DEG,15,ASTM ELBOW 45°,Material Description is not given in app,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,UH1148,"168.28MM (6""X45°) ELBOW SH-80 (P5)",No.s,1775.50,PRICE PER NO.,ELBOW 45 DEG,5,ASTM ELBOW 45°,Material Description is not given in app,
