Main Category,"Agri/
Non Agri",Product Segment,Material Group Description,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder
AGRI MOULDED FITTING,AGRI,FITTINGS,AGRI MOULDED FITTING,MH1335,200X160MM 6KG REDUCING SINGLE Y (P2),No.s,1657.00,PRICE PER NO.,REDUCING SINGLE Y,2,AGRI M REDUCING SINGLE Y
AGRI MOULDED FITTING,AGRI,FITTINGS,AGRI MOULDED FITTING,MH1336,200X110MM 6KG REDUCING SINGLE Y (P2),No.s,1479.00,PRICE PER NO.,REDUCING SINGLE Y,2,AGRI M REDUCING SINGLE Y
AGRI MOULDED FITTING,AGRI,FITTINGS,AGRI MOULDED FITTING,MH1337,160X110MM 6KG REDUCING SINGLE Y (P3),No.s,973.00,PRICE PER NO.,REDUCING SINGLE Y,3,AGRI M REDUCING SINGLE Y
AGRI MOULDED FITTING,AGRI,FITTINGS,AGRI MOULDED FITTING,MM1589,75MM 6KG FLANGE (P40),No.s,232.00,PRICE PER NO.,FLANGE,40,AGRI M FLANGE
AGRI MOULDED FITTING,AGRI,FITTINGS,AGRI MOULDED FITTING,MM1599,90MM 6KG FLANGE (P30),No.s,276.00,PRICE PER NO.,FLANGE,30,AGRI M FLANGE
AGRI MOULDED FITTING,AGRI,FITTINGS,AGRI MOULDED FITTING,MM1666,110MM 6KG FLANGE (P30),No.s,399.00,PRICE PER NO.,FLANGE,30,AGRI M FLANGE
AGRI MOULDED FITTING,AGRI,FITTINGS,AGRI MOULDED FITTING,MM1588,90MM FOOT VALVE (P8),No.s,2557.50,PRICE PER NO.,FOOT VALVE,8,AGRI M FOOT VALVE
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1111,200MM (22.5DEG) 6KG BEND FAB.,No.s,1943.00,PRICE PER NO.,BEND 22.5 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1112,225MM (22.5DEG) 6KG BEND FAB.,No.s,2380.00,PRICE PER NO.,BEND 22.5 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1113,400MM (30DEG) 4KG BEND FAB.,No.s,9109.00,PRICE PER NO.,BEND 30 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1114,140MM (45DEG) 4KG BEND FAB. (P7),No.s,466.50,PRICE PER NO.,BEND 45 DEG,7,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1115,160MM (45DEG) 4KG BEND FAB. (P5),No.s,695.00,PRICE PER NO.,BEND 45 DEG,5,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1116,200MM (45DEG) 4KG BEND FAB.,No.s,1351.50,PRICE PER NO.,BEND 45 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1117,63MM (45DEG) 6KG BEND FAB. (P-96),No.s,69.50,PRICE PER NO.,BEND 45 DEG,96,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1118,75MM (45DEG) 6KG BEND FAB. (P50),No.s,108.00,PRICE PER NO.,BEND 45 DEG,50,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1119,90MM (45DEG) 6KG BEND FAB. (P-30),No.s,185.50,PRICE PER NO.,BEND 45 DEG,30,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1122,110MM (45DEG) 6KG BEND FAB. (P-30),No.s,328.00,PRICE PER NO.,BEND 45 DEG,30,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1123,140MM (45DEG) 6KG BEND FAB. (P7),No.s,682.00,PRICE PER NO.,BEND 45 DEG,7,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1124,160MM (45DEG) 6KG BEND FAB. (P-9),No.s,997.50,PRICE PER NO.,BEND 45 DEG,9,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1125,180MM (45 DEG) 6 KG BEND FAB. (P2),No.s,1684.00,PRICE PER NO.,BEND 45 DEG,2,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1126,200MM (45DEG) 6KG BEND FAB. (P-4),No.s,1951.50,PRICE PER NO.,BEND 45 DEG,4,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1127,225MM (45DEG) 6KG BEND FAB.,No.s,3006.00,PRICE PER NO.,BEND 45 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1128,250MM (45DEG) 6KG BEND FAB.,No.s,3892.00,PRICE PER NO.,BEND 45 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1129,315MM (45DEG) 6KG BEND FAB.,No.s,7705.00,PRICE PER NO.,BEND 45 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1133,90MM (45DEG) 10KG BEND FAB  (P30),No.s,315.50,PRICE PER NO.,BEND 45 DEG,30,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1134,110MM (45DEG) 10KG BEND FAB (P20),No.s,561.50,PRICE PER NO.,BEND 45 DEG,20,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1135,160MM (45DEG) 10KG BEND FAB. (P5),No.s,1727.00,PRICE PER NO.,BEND 45 DEG,5,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1136,63MM (90DEG) 4KG BEND FAB. ( P-80 ),No.s,71.00,PRICE PER NO.,BEND 90 DEG,80,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1137,75MM (90DEG) 4KG BEND FAB. ( P-50 ),No.s,139.00,PRICE PER NO.,BEND 90 DEG,50,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1138,90MM (90DEG) 4KG BEND FAB. ( P-30 ),No.s,224.50,PRICE PER NO.,BEND 90 DEG,30,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1139,110MM (90DEG) 4KG BEND FAB. ( P-20 ),No.s,379.00,PRICE PER NO.,BEND 90 DEG,20,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1144,140MM (90DEG) 4KG BEND FAB. ( P-7),No.s,1236.00,PRICE PER NO.,BEND 90 DEG,7,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1145,160MM (90DEG) 4KG BEND FAB. (P-4),No.s,1496.50,PRICE PER NO.,BEND 90 DEG,4,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1146,180MM (90DEG) 4KG BEND FAB. ( P-2 ),No.s,2084.50,PRICE PER NO.,BEND 90 DEG,2,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1147,200MM (90DEG) 4KG BEND FAB. ( P-2 ),No.s,2245.00,PRICE PER NO.,BEND 90 DEG,2,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1148,225MM (90DEG) 4KG BEND FAB.,No.s,4276.00,PRICE PER NO.,BEND 90 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1149,250MM (90DEG) 4KG BEND FAB.,No.s,4388.00,PRICE PER NO.,BEND 90 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1155,280MM (90DEG) 4KG BEND FAB.,No.s,6138.50,PRICE PER NO.,BEND 90 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1156,315MM (90DEG) 4KG BEND FAB.,No.s,8732.00,PRICE PER NO.,BEND 90 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1157,40MM (90DEG) 6KG BEND FAB. (P-150),No.s,35.50,PRICE PER NO.,BEND 90 DEG,150,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1158,50MM (90DEG) 6KG BEND FAB. ( P-75 ),No.s,62.50,PRICE PER NO.,BEND 90 DEG,75,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1159,63MM (90DEG) 6KG BEND FAB. [P-80],No.s,180.50,PRICE PER NO.,BEND 90 DEG,80,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1166,75MM (90DEG) 6KG BEND FAB. ( P-50 ),No.s,297.50,PRICE PER NO.,BEND 90 DEG,50,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1167,90MM (90DEG) 6KG BEND FAB. ( P-30 ),No.s,350.00,PRICE PER NO.,BEND 90 DEG,30,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1168,110MM (90DEG) 6KG BEND FAB. ( P-20 ),No.s,539.00,PRICE PER NO.,BEND 90 DEG,20,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1169,140MM (90DEG) 6KG BEND FAB. ( P-7 ),No.s,1542.50,PRICE PER NO.,BEND 90 DEG,7,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1177,160MM (90DEG) 6KG BEND FAB. ( P-4 ),No.s,1649.50,PRICE PER NO.,BEND 90 DEG,4,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1178,180MM (90DEG) 6KG BEND FAB. ( P-2 ),No.s,2457.00,PRICE PER NO.,BEND 90 DEG,2,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1179,200MM (90DEG) 6KG BEND FAB. [P-2],No.s,3238.00,PRICE PER NO.,BEND 90 DEG,2,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1188,225MM (90DEG) 6KG BEND FAB.,No.s,4607.50,PRICE PER NO.,BEND 90 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1189,250MM (90DEG) 6KG BEND FAB.,No.s,6437.00,PRICE PER NO.,BEND 90 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1199,280MM (90DEG) 6KG BEND FAB.,No.s,12457.00,PRICE PER NO.,BEND 90 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1222,315MM (90DEG) 6KG BEND FAB.,No.s,12733.50,PRICE PER NO.,BEND 90 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1223,400MM (90 DEG) 6KG BEND FAB,No.s,33347.50,PRICE PER NO.,BEND 90 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1224,25MM (90DEG) 8KG BEND FAB. ( P-75 ),No.s,16.00,PRICE PER NO.,BEND 90 DEG,75,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1225,63MM (90DEG) 10KG BEND FAB. (P80),No.s,175.50,PRICE PER NO.,BEND 90 DEG,80,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1226,75MM (90DEG) 10KG BEND FAB. (P50),No.s,287.50,PRICE PER NO.,BEND 90 DEG,50,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1227,90MM (90DEG) 10KG BEND FAB. (P30),No.s,475.00,PRICE PER NO.,BEND 90 DEG,30,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1228,110MM (90DEG) 10KG BEND FAB. (P20),No.s,876.50,PRICE PER NO.,BEND 90 DEG,20,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1229,140MM (90 DEG) 10KG BEND FAB. (P7),No.s,1835.00,PRICE PER NO.,BEND 90 DEG,7,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1233,160MM (90DEG) 10KG BEND FAB. (P5),No.s,2504.00,PRICE PER NO.,BEND 90 DEG,5,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1234,200MM (90DEG) 10KG BEND FAB ( P-2 ),No.s,5215.00,PRICE PER NO.,BEND 90 DEG,2,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1235,315MM (90DEG) 10KG BEND FAB,No.s,22202.00,PRICE PER NO.,BEND 90 DEG,1,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1236,32MM (90DEG) PLUMBING BEND FAB. (P-150),No.s,40.50,PRICE PER NO.,BEND 90 DEG - PLUMBING,150,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1237,40MM (90DEG) PLUMBING BEND FAB. (P-150),No.s,67.50,PRICE PER NO.,BEND 90 DEG - PLUMBING,150,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1238,50MM (90DEG) PLUMBING BEND FAB. (P-40 ),No.s,108.00,PRICE PER NO.,BEND 90 DEG - PLUMBING,40,AGRI F BEND
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1239,63MM 4KG COUPLER FAB. ( P-300 ),No.s,19.00,PRICE PER NO.,COUPLER ,300,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1244,75MM 4KG COUPLER FAB. ( P-150 ),No.s,30.50,PRICE PER NO.,COUPLER ,150,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1245,90MM 4KG COUPLER FAB. ( P-100 ),No.s,56.50,PRICE PER NO.,COUPLER ,100,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1246,110MM 4KG COUPLER FAB. ( P-70 ),No.s,99.50,PRICE PER NO.,COUPLER ,70,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1247,140MM 4KG COUPLER FAB. ( P-35 ),No.s,183.00,PRICE PER NO.,COUPLER ,35,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1248,160MM 4KG COUPLER FAB ( P-20 ),No.s,280.50,PRICE PER NO.,COUPLER ,20,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1249,180MM 4KG COUPLER FAB. ( P-15 ),No.s,399.50,PRICE PER NO.,COUPLER ,15,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1255,200MM 4KG COUPLER FAB. ( P-12 ),No.s,518.00,PRICE PER NO.,COUPLER ,12,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1256,225MM 4KG COUPLER FAB.,No.s,737.50,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1257,250MM 4KG COUPLER FAB.,No.s,970.00,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1258,315MM 4KG COUPLER FAB.,No.s,1882.50,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1259,355MM 4KG COUPLER FAB.,No.s,2764.50,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1266,400MM 4KG COUPLER FAB.,No.s,3784.50,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1267,63MM 6KG COUPLER FAB. (P300),No.s,28.00,PRICE PER NO.,COUPLER ,300,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1268,75MM 6KG COUPLER FAB. ( P-150),No.s,47.50,PRICE PER NO.,COUPLER ,150,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1269,90MM 6KG COUPLER FAB. ( P-100 ),No.s,87.00,PRICE PER NO.,COUPLER ,100,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1277,110MM 6KG COUPLER FAB. ( P-50 ),No.s,147.00,PRICE PER NO.,COUPLER ,50,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1278,140MM 6KG COUPLER FAB. ( P-35 ),No.s,285.00,PRICE PER NO.,COUPLER ,35,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1279,160MM 6KG COUPLER FAB. ( P-20 ),No.s,401.50,PRICE PER NO.,COUPLER ,20,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1288,180MM 6KG COUPLER FAB. ( P-15 ),No.s,518.00,PRICE PER NO.,COUPLER ,15,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1289,200MM 6KG COUPLER FAB. ( P-12 ),No.s,738.50,PRICE PER NO.,COUPLER ,12,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1299,225MM 6KG COUPLER FAB.,No.s,1114.50,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1333,250MM 6KG COUPLER FAB.,No.s,1465.50,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1334,280MM 6KG COUPLER FAB.,No.s,1930.50,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1335,315MM 6KG COUPLER FAB.,No.s,3054.00,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1336,355MM 6KG COUPLER FAB.,No.s,4651.00,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1337,400MM 6KG COUPLER FAB.,No.s,5639.00,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1338,63MM 10KG COUPLER FAB. (P25),No.s,47.50,PRICE PER NO.,COUPLER ,25,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1339,75MM 10 KG COUPLER FAB (P-15 ),No.s,95.50,PRICE PER NO.,COUPLER ,15,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1344,90MM 10KG COUPER FAB. ( P-90 ),No.s,138.50,PRICE PER NO.,COUPLER ,90,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1345,110MM 10KG COUPLER FAB. (P50),No.s,227.00,PRICE PER NO.,COUPLER ,50,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1346,140MM 10KG COUPLER FAB (P-25),No.s,427.50,PRICE PER NO.,COUPLER ,25,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1347,160MM 10KG COULPER FAB (P20),No.s,652.00,PRICE PER NO.,COUPLER ,20,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1555,180MM 10KG COUPLER FAB. ( P-10 ),No.s,891.50,PRICE PER NO.,COUPLER ,10,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1348,200MM 10KG COUPLER FAB(P10),No.s,1122.50,PRICE PER NO.,COUPLER ,10,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1349,250MM 10KG COUPLER FAB.,No.s,2555.50,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1355,280MM 10KG COUPLER FAB.,No.s,4037.00,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1356,315MM 10KG COUPLER FAB.,No.s,6883.50,PRICE PER NO.,COUPLER ,1,AGRI F COUPLER
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1357,63MM 4KG (R/R) REPAIR COUPLER (P60),No.s,170.00,PRICE PER NO.,REPAIR COUPLER,60,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1358,75MM 4KG(R/R) REPAIR COUPLER (P50),No.s,214.50,PRICE PER NO.,REPAIR COUPLER,50,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1359,90MM 4KG (R/R) REPAIR COUPLER (P-25),No.s,274.50,PRICE PER NO.,REPAIR COUPLER,25,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1366,110MM 4KG(R/R) REPAIR COUPLER (P20),No.s,427.00,PRICE PER NO.,REPAIR COUPLER,20,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1367,140MM 4KG(R/R) REPAIR COUPLER (P10),No.s,611.00,PRICE PER NO.,REPAIR COUPLER,10,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1368,160MM 4KG (R/R) REPAIR COUPLER (P8),No.s,907.00,PRICE PER NO.,REPAIR COUPLER,8,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1369,63MM 6KG (R/R) REPAIR COUPLER (P-60),No.s,171.50,PRICE PER NO.,REPAIR COUPLER,60,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1377,75MM 6KG R/R REPAIR COUPLER (P50 ),No.s,215.50,PRICE PER NO.,REPAIR COUPLER,50,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1378,90MM 6KG(R/R) REPAIR COUPLER(P-25),No.s,347.00,PRICE PER NO.,REPAIR COUPLER,25,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1379,110MM 6KG(R/R) REPAIR COUPLER (P20),No.s,694.00,PRICE PER NO.,REPAIR COUPLER,20,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1388,140MM 6KG(R/R) REPAIR COUPLER (P-10),No.s,1156.50,PRICE PER NO.,REPAIR COUPLER,10,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1389,160MM 6KG R/R REPAIR COUPLER (P8),No.s,1486.00,PRICE PER NO.,REPAIR COUPLER,8,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1399,200MM 6KG(R/R) REPAIR COUPLER,No.s,2396.00,PRICE PER NO.,REPAIR COUPLER,1,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1444,225MM 6KG(R/R) REPAIR COUPLER,No.s,5400.50,PRICE PER NO.,REPAIR COUPLER,1,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1445,250MM 6KG(R/R) REPAIR COUPLER,No.s,6895.50,PRICE PER NO.,REPAIR COUPLER,1,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1446,280MM 6KG(R/R) REPAIR COUPLER,No.s,5996.00,PRICE PER NO.,REPAIR COUPLER,1,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1447,315MM 6KG(R/R) REPAIR COUPLER,No.s,10395.50,PRICE PER NO.,REPAIR COUPLER,1,AGRI F REPAIR COUPLER (RR)
AGRI FABRICATED  FITTING,AGRI,FITTINGS,AGRI FABRICATED  FITTING,FF1448,400MM 6KG(R/R) REPAIR COUPLER,No.s,14692.50,PRICE PER NO.,REPAIR COUPLER,1,AGRI F REPAIR COUPLER (RR)
