Main Category,"Agri/
Non Agri",Product Segment,Material Group Description,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1157,110MM 4KG/CM2 SELFIT (3 MTR),MTR,400.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-4KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1179,110MM 6KG/CM2 SELFIT (5 MTR),MTR,581.00,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-6KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1166,110MM 8KG/CM2 SELFIT (3 MTR),MTR,759.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-8KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1222,110MM 8KG/CM2 SELFIT (5 MTR),MTR,759.00,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-8KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1366,125MM 10KG/CM2 SELFIT,MTR,1204.00,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-10KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1367,125MM 12.5KG/CM2 SELFIT,MTR,1455.50,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-12.5KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1357,125MM 2.5KG/CM2 SELFIT,MTR,339.00,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-2.5KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1358,125MM 4KG/CM2 SELFIT,MTR,530.00,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-4KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1359,125MM 8KG/CM2 SELFIT,MTR,986.50,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-8KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1344,140MM 10KG/CM2 SELFIT (3 MTR),MTR,1505.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-10KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1355,140MM 12.5KG/CM2 SELFIT (3 MTR),MTR,1851.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-12.5KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1368,140MM 12.5KG/CM2 SELFIT,MTR,1851.50,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-12.5KG
