Main Category,"AGRI/
PLUMBING & SANITATION",Product Segment,Material Group Description,Material Code ,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder,Sales Observations (Sachin)
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4588,6142,"28.6X15.9MM(1X1/2"") CPVC R.BUSH (P200)",No.s,27.00,PRICE PER NO.,REDUCER BUSH,200,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1113,6143,"28.6X22.2MM(1X3/4"") CPVC R.BUSH (P900)",No.s,20.00,PRICE PER NO.,REDUCER BUSH,900,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4589,6144,34.9X15.9MM(11/4X1/2)CPVC R.BUSH (P150),No.s,50.00,PRICE PER NO.,REDUCER BUSH,150,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3337,6145,34.9X22.2MM(11/4X3/4)CPVC R.BUSH (P120),No.s,38.00,PRICE PER NO.,REDUCER BUSH,120,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3338,6146,34.9X28.6MM(11/4X1) CPVC R.BUSH (P125),No.s,32.00,PRICE PER NO.,REDUCER BUSH,125,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4599,6147,41.3X15.9MM(11/2X1/2)CPVC R.BUSH (P80),No.s,75.50,PRICE PER NO.,REDUCER BUSH,80,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3339,6148,41.3X22.2MM(11/2X3/4)CPVC R.BUSH (P75),No.s,60.00,PRICE PER NO.,REDUCER BUSH,75,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3344,6149,"41.3X28.6MM(11/2X1"") CPVC R.BUSH (P75)",No.s,59.00,PRICE PER NO.,REDUCER BUSH,75,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3345,6150,"41.3X34.9MM(11/2X11/4"")CPVC R.BUSH(P100)",No.s,42.50,PRICE PER NO.,REDUCER BUSH,100,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4666,6151,"54.0X15.9MM(2X1/2"") CPVC R. BUSH (P40)",No.s,120.00,PRICE PER NO.,REDUCER BUSH,40,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4667,6152,"54.0X22.2MM(2X3/4"") CPVC R. BUSH (P40)",No.s,112.00,PRICE PER NO.,REDUCER BUSH,40,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4668,6153,"54.0X28.6MM (2X1"") CPVC R. BUSH (P40)",No.s,112.00,PRICE PER NO.,REDUCER BUSH,40,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4669,6154,"54 X34.9MM(2""X11/4"") CPVC R.BUSH (P30)",No.s,121.00,PRICE PER NO.,REDUCER BUSH,30,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3346,6155,"54X41.3MM(2 X11/2"") CPVC R.BUSH (P40)",No.s,100.00,PRICE PER NO.,REDUCER BUSH,40,CPVC REDUCING BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS5568,6099,21.34X15.9MM(1/2X1/2)TRANS BUSH (P300),No.s,13.50,PRICE PER NO.,TRANSITION BUSH,300,CPVC TRANSITION BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1129,6100,26.67X22.2MM(3/4X3/4)TRANS BUSH (P900),No.s,17.50,PRICE PER NO.,TRANSITION BUSH,900,CPVC TRANSITION BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3558,6101,"33.4X28.6MM(1X1"") TRANS BUSH (P100)",No.s,25.50,PRICE PER NO.,TRANSITION BUSH,100,CPVC TRANSITION BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3559,6102,42.16X41.3MM(11/4X11/4)TRANS BUSH (P100),No.s,43.50,PRICE PER NO.,TRANSITION BUSH,100,CPVC TRANSITION BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3566,6103,48.26X41.30MM(1Â½â€X1Â½â€)TRANS BUSH (P40),No.s,55.50,PRICE PER NO.,TRANSITION BUSH,40,CPVC TRANSITION BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS5569,6104,"60.32MMX54MM (2""X2â€) TRANS BUSH (P20)",No.s,83.50,PRICE PER NO.,TRANSITION BUSH,20,CPVC TRANSITION BUSH,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS5567,6114,"15.9MM (1/2"") CPVC BALL VALVE (P50)",No.s,97.00,PRICE PER NO.,CPVC BALL VALVE,50,CPVC BALL VALVE,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3489,6115,"22.2MM (3/4"") CPVC BALL VALVE (P48)",No.s,171.00,PRICE PER NO.,CPVC BALL VALVE,48,CPVC BALL VALVE,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3499,6116,"28.6MM (1"") CPVC BALL VALVE (P24)",No.s,320.00,PRICE PER NO.,CPVC BALL VALVE,24,CPVC BALL VALVE,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3555,6117,"34.9MM (11/4"") CPVC BALL VALVE (P12)",No.s,563.00,PRICE PER NO.,CPVC BALL VALVE,12,CPVC BALL VALVE,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3556,6118,"41.3MM (11/2"") CPVC BALL VALVE (P8)",No.s,884.00,PRICE PER NO.,CPVC BALL VALVE,8,CPVC BALL VALVE,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3557,6119,"54MM (2"") CPVC BALL VALVE (P4)",No.s,1553.50,PRICE PER NO.,CPVC BALL VALVE,4,CPVC BALL VALVE,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2688,6001,"15.9MM (1/2"") CPVC COUPLER (P350)",No.s,13.50,PRICE PER NO.,COUPLER ,350,CPVC COUPLER,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1148,6002,"22.2MM (3/4"") CPVC COUPLER  (P750)",No.s,16.50,PRICE PER NO.,COUPLER ,750,CPVC COUPLER,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1149,6003,"28.6MM (1"") CPVC COUPLER (P350)",No.s,27.50,PRICE PER NO.,COUPLER ,350,CPVC COUPLER,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1155,6004,"34.9MM (11/4"") CPVC COUPLER  (P220)",No.s,55.50,PRICE PER NO.,COUPLER ,220,CPVC COUPLER,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1156,6005,"41.3MM (11/2"") CPVC COUPLER  (P140)",No.s,100.00,PRICE PER NO.,COUPLER ,140,CPVC COUPLER,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2689,6006,"54MM (2"") CPVC COUPLER (P20)",No.s,198.50,PRICE PER NO.,COUPLER ,20,CPVC COUPLER,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1158,6007,"15.9MM (1/2"") CPVC 90Â° ELBOW  (P1250)",No.s,18.00,PRICE PER NO.,ELBOW 90 DEG,1250,CPVC ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1159,6008,"22.2MM (3/4"") CPVC 90Â° ELBOW  (P480)",No.s,19.50,PRICE PER NO.,ELBOW 90 DEG,480,CPVC ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1166,6009,"28.6MM (1"") CPVC 90Â° ELBOW  (P250)",No.s,41.00,PRICE PER NO.,ELBOW 90 DEG,250,CPVC ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1167,6010,"34.9MM (11/4"") CPVC 90Â° ELBOW  (P135)",No.s,89.00,PRICE PER NO.,ELBOW 90 DEG,135,CPVC ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1168,6011,"41.3MM (11/2"") CPVC 90Â° ELBOW  (P88)",No.s,166.50,PRICE PER NO.,ELBOW 90 DEG,88,CPVC ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2779,6012,"54MM (2"") CPVC 90Â° ELBOW (P16)",No.s,327.50,PRICE PER NO.,ELBOW 90 DEG,16,CPVC ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4558,6156,22.2X15.9MM(3/4X1/2)CPVC R.ELBOW (P150),No.s,30.50,PRICE PER NO.,90 DEG. REDUCING ELBOW,150,CPVC REDUCING ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4489,6157,"28.6X15.9MM(1X1/2"")CPVC R.ELBOW (P180)",No.s,48.50,PRICE PER NO.,90 DEG. REDUCING ELBOW,180,CPVC REDUCING ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1179,6158,"28.6X22.2MM(1X3/4"")CPVC R.ELBOW (P275)",No.s,70.00,PRICE PER NO.,90 DEG. REDUCING ELBOW,275,CPVC REDUCING ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4499,6159,"34.9X15.9MM(11/4X1/2"")CPVC R.ELBOW(P105)",No.s,121.50,PRICE PER NO.,90 DEG. REDUCING ELBOW,105,CPVC REDUCING ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2669,6160,"34.9X22.2MM(11/4X3/4"")CPVC R.ELBOW (P75)",No.s,89.00,PRICE PER NO.,90 DEG. REDUCING ELBOW,75,CPVC REDUCING ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2677,6161,"34.9X28.6MM(11/4X1"")CPVC R.ELBOW (P75)",No.s,94.00,PRICE PER NO.,90 DEG. REDUCING ELBOW,75,CPVC REDUCING ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4555,6162,"41.3X22.2MM(11/2X3/4"")CPVC R.ELBOW (P40)",No.s,119.50,PRICE PER NO.,90 DEG. REDUCING ELBOW,40,CPVC REDUCING ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4556,6163,"41.3X28.6MM(11/2X1"")CPVC R.ELBOW (P36)",No.s,145.00,PRICE PER NO.,90 DEG. REDUCING ELBOW,36,CPVC REDUCING ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4557,6164,"54X28.6MM(2""X1"")CPVC R.ELBOW (P24)",No.s,337.00,PRICE PER NO.,90 DEG. REDUCING ELBOW,24,CPVC REDUCING ELBOW  90°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1225,6013,"15.9MM (1/2"") CPVC BRASS ELBOW  (P270)",No.s,72.50,PRICE PER NO.,90 DEG. BRASS ELBOW,270,CPVC ELBOW  90° - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3378,6014,"22.2MM (3/4"") CPVC BRASS ELBOW (P90)",No.s,101.50,PRICE PER NO.,90 DEG. BRASS ELBOW,90,CPVC ELBOW  90° - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2589,6015,"28.6MM (1"") CPVC BRASS ELBOW (P40)",No.s,392.50,PRICE PER NO.,90 DEG. BRASS ELBOW,40,CPVC ELBOW  90° - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4478,6016,"34.9MM (11/4"") CPVC BRASS ELBOW (P20)",No.s,508.50,PRICE PER NO.,90 DEG. BRASS ELBOW,20,CPVC ELBOW  90° - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1229,6166,"28.6X15.9MM (1X1/2"") CPVC BRASS ELBOW (P200)",No.s,142.00,PRICE PER NO.,90 DEG. REDUCING BRASS ELBOW,200,CPVC REDUCING ELBOW  90° - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1233,6165,"22.2X15.9MM(3/4X1/2"")CPVC BRASS ELBOW (P260)",No.s,75.50,PRICE PER NO.,90 DEG. REDUCING BRASS ELBOW,260,CPVC REDUCING ELBOW  90° - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4889,6167,"28.6X22.2MM(1X3/4"")CPVC BRASS ELBOW(P60)",No.s,209.00,PRICE PER NO.,90 DEG. REDUCING BRASS ELBOW,60,CPVC REDUCING ELBOW  90° - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2699,6017,"15.9MM (1/2"") CPVC 45° ELBOW(P250)",No.s,19.50,PRICE PER NO.,ELBOW 45 DEG,250,CPVC ELBOW 45°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1236,6018,"22.2MM (3/4"") CPVC 45° ELBOW  (P600)",No.s,29.00,PRICE PER NO.,ELBOW 45 DEG,600,CPVC ELBOW 45°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1237,6019,"28.6MM (1"") CPVC 45° ELBOW  (P306)",No.s,50.00,PRICE PER NO.,ELBOW 45 DEG,306,CPVC ELBOW 45°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2777,6020,"34.9MM (11/4"") CPVC 45° ELBOW  (P40)",No.s,104.00,PRICE PER NO.,ELBOW 45 DEG,40,CPVC ELBOW 45°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2778,6021,"41.3MM (11/2"") CPVC 45° ELBOW  (P25)",No.s,157.00,PRICE PER NO.,ELBOW 45 DEG,25,CPVC ELBOW 45°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2788,6022,"54MM (2"") CPVC 45° ELBOW (P12)",No.s,326.50,PRICE PER NO.,ELBOW 45 DEG,12,CPVC ELBOW 45°,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1245,6023,"22.2MM(3/4"") CPVC 3 WAY ELBOW  (P400)",No.s,48.00,PRICE PER NO.,3 WAY ELBOW ,400,CPVC 3 WAY ELBOW,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1246,6024,"28.6MM(1"") CPVC 3 WAY ELBOW  (P250)",No.s,80.50,PRICE PER NO.,3 WAY ELBOW ,250,CPVC 3 WAY ELBOW,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3356,6045,"15.9MM (1/2"") CPVC END CAP (P400)",No.s,10.50,PRICE PER NO.,END CAP ,400,CPVC END CAP,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1248,6046,"22.2MM (3/4"") CPVC END CAP  (P1470)",No.s,14.50,PRICE PER NO.,END CAP ,1470,CPVC END CAP,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1249,6047,"28.6MM (1"") CPVC END CAP  (P750)",No.s,23.00,PRICE PER NO.,END CAP ,750,CPVC END CAP,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3357,6048,"34.9MM (11/4"") CPVC END CAP (P100)",No.s,45.50,PRICE PER NO.,END CAP ,100,CPVC END CAP,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3358,6049,"41.3MM (11/2"") CPVC END CAP (P60)",No.s,66.50,PRICE PER NO.,END CAP ,60,CPVC END CAP,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3359,6050,"54MM (2"") CPVC END CAP (P30)",No.s,136.00,PRICE PER NO.,END CAP ,30,CPVC END CAP,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4799,6063,"15.9MM (1/2"") CPVC F.T.A. (P200)",No.s,21.00,PRICE PER NO.,FEMALE THREADED ADAPTOR (F.T.A.),200,CPVC FEMALE THREADED ADAPTER (F.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1259,6064,"22.2MM (3/4"") CPVC F.T.A.  (P500)",No.s,30.50,PRICE PER NO.,FEMALE THREADED ADAPTOR (F.T.A.),500,CPVC FEMALE THREADED ADAPTER (F.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1266,6065,"28.6MM (1"") CPVC F.T.A.  (P300)",No.s,45.50,PRICE PER NO.,FEMALE THREADED ADAPTOR (F.T.A.),300,CPVC FEMALE THREADED ADAPTER (F.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3369,6066,"34.9MM (11/4"") CPVC F.T.A. (P40)",No.s,108.00,PRICE PER NO.,FEMALE THREADED ADAPTOR (F.T.A.),40,CPVC FEMALE THREADED ADAPTER (F.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4888,6067,"41.3MM (11/2"") CPVC F.T.A. (P30)",No.s,150.50,PRICE PER NO.,FEMALE THREADED ADAPTOR (F.T.A.),30,CPVC FEMALE THREADED ADAPTER (F.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3377,6068,"54MM (2"") CPVC F.T.A. (P20)",No.s,228.00,PRICE PER NO.,FEMALE THREADED ADAPTOR (F.T.A.),20,CPVC FEMALE THREADED ADAPTER (F.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2679,6187,"22.2X15.9MM(3/4X1/2"")CPVC R.F.T.A.(P160)",No.s,36.50,PRICE PER NO.,REDUCING FEMALE THREADED ADAPTOR (F.T.A.),160,CPVC REDUCING FEMALE THREADED ADAPTER (F.T.A),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3446,6069,"15.9MM (1/2"") CPVC BRASS F.T.A.(P60)",No.s,148.50,PRICE PER NO.,BRASS FEMALE THREADED ADAPTOR (F.T.A.),60,CPVC FEMALE THREADED ADAPTER  (F.T.A.) - BRASS  INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3447,6070,"22.2MM (3/4"") CPVC BRASS F.T.A. (P45)",No.s,209.00,PRICE PER NO.,BRASS FEMALE THREADED ADAPTOR (F.T.A.),45,CPVC FEMALE THREADED ADAPTER  (F.T.A.) - BRASS  INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3448,6071,"28.6MM (1"") CPVC BRASS FTA (P30)",No.s,324.00,PRICE PER NO.,BRASS FEMALE THREADED ADAPTOR (F.T.A.),30,CPVC FEMALE THREADED ADAPTER  (F.T.A.) - BRASS  INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3456,6072,"34.9MM (11/4"") CPVC BRASS F.T.A. (P14)",No.s,662.50,PRICE PER NO.,BRASS FEMALE THREADED ADAPTOR (F.T.A.),14,CPVC FEMALE THREADED ADAPTER  (F.T.A.) - BRASS  INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3457,6073,"41.3MM (11/2"") CPVC BRASS F.T.A. (P14)",No.s,740.50,PRICE PER NO.,BRASS FEMALE THREADED ADAPTOR (F.T.A.),14,CPVC FEMALE THREADED ADAPTER  (F.T.A.) - BRASS  INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3458,6074,"54MM (2"") CPVC BRASS F.T.A. (P6)",No.s,1422.00,PRICE PER NO.,BRASS FEMALE THREADED ADAPTOR (F.T.A.),6,CPVC FEMALE THREADED ADAPTER  (F.T.A.) - BRASS  INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1334,6188,"22.2X15.9MM (3/4X1/2"") CPVC BRASS FTA (P300)",No.s,95.50,PRICE PER NO.,REDUCING BRASS FEMALE THREADED ADAPTOR (F.T.A.),300,CPVC REDUCING  FEMALE THREADED ADAPTER (F.T.A.) - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3449,6189,28.6X15.9MM(1X1/2)CPVC BRASS FTA (P90),No.s,115.00,PRICE PER NO.,REDUCING BRASS FEMALE THREADED ADAPTOR (F.T.A.),90,CPVC REDUCING  FEMALE THREADED ADAPTER (F.T.A.) - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3455,6190,28.6X22.2MM(1X3/4)CPVC BRASS FTA (P60),No.s,121.00,PRICE PER NO.,REDUCING BRASS FEMALE THREADED ADAPTOR (F.T.A.),60,CPVC REDUCING  FEMALE THREADED ADAPTER (F.T.A.) - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4488,6191,"34.9X15.9MM(11/4X1/2"")CPVC BRASS FTA(P48",No.s,122.50,PRICE PER NO.,REDUCING BRASS FEMALE THREADED ADAPTOR (F.T.A.),48,CPVC REDUCING  FEMALE THREADED ADAPTER (F.T.A.) - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4788,6051,"15.9MM (1/2"") CPVC M.T.A. (P300)",No.s,16.50,PRICE PER NO.,MALE THREADED ADAPTOR (M.T.A.),300,CPVC MALE THREADED ADAPTER (M.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1339,6052,"22.2MM (3/4"") CPVC M.T.A.  (P700)",No.s,24.00,PRICE PER NO.,MALE THREADED ADAPTOR (M.T.A.),700,CPVC MALE THREADED ADAPTER (M.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1344,6053,"28.6MM (1"") CPVC M.T.A.  (P390)",No.s,35.00,PRICE PER NO.,MALE THREADED ADAPTOR (M.T.A.),390,CPVC MALE THREADED ADAPTER (M.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3367,6054,"34.9MM (11/4"") CPVC M.T.A (P75)",No.s,59.00,PRICE PER NO.,MALE THREADED ADAPTOR (M.T.A.),75,CPVC MALE THREADED ADAPTER (M.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4789,6055,"41.3MM (11/2"") CPVC M.T.A. (P50)",No.s,86.50,PRICE PER NO.,MALE THREADED ADAPTOR (M.T.A.),50,CPVC MALE THREADED ADAPTER (M.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3368,6056,"54MM (2"") CPVC M.T.A. (P25)",No.s,160.50,PRICE PER NO.,MALE THREADED ADAPTOR (M.T.A.),25,CPVC MALE THREADED ADAPTER (M.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3366,6182,"22.2X15.9MM(3/4X1/2"")CPVC R.M.T.A.(P150)",No.s,30.00,PRICE PER NO.,REDUCING MALE THREADED ADAPTOR (M.T.A.),150,CPVC REDUCING MALE THREADED ADAPTER (M.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2678,6183,"28.6X22.2MM(1X3/4"")CPVC R.M.T.A. (P180)",No.s,40.50,PRICE PER NO.,REDUCING MALE THREADED ADAPTOR (M.T.A.),180,CPVC REDUCING MALE THREADED ADAPTER (M.T.A.),Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3388,6057,"15.9MM (1/2"") CPVC BRASS M.T.A.(P60)",No.s,162.50,PRICE PER NO.,BRASS MALE THREADED ADAPTOR (M.T.A.),60,CPVC MALE THREADED ADAPTER (M.T.A.) - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1356,6058,"22.2MM (3/4"") CPVC BRASS MTA  (P180)",No.s,219.00,PRICE PER NO.,BRASS MALE THREADED ADAPTOR (M.T.A.),180,CPVC MALE THREADED ADAPTER (M.T.A.) - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1357,6059,"28.6MM (1"") CPVC BRASS MTA  (P90)",No.s,339.00,PRICE PER NO.,BRASS MALE THREADED ADAPTOR (M.T.A.),90,CPVC MALE THREADED ADAPTER (M.T.A.) - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3399,6060,"34.9MM (11/4"") CPVC BRASS MTA (P18)",No.s,673.50,PRICE PER NO.,BRASS MALE THREADED ADAPTOR (M.T.A.),18,CPVC MALE THREADED ADAPTER (M.T.A.) - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3444,6061,"41.3MM (11/2"") CPVC BRASS MTA (P16)",No.s,839.50,PRICE PER NO.,BRASS MALE THREADED ADAPTOR (M.T.A.),16,CPVC MALE THREADED ADAPTER (M.T.A.) - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3445,6062,"54MM (2"") CPVC BRASS M.T.A. (P6)",No.s,1555.00,PRICE PER NO.,BRASS MALE THREADED ADAPTOR (M.T.A.),6,CPVC MALE THREADED ADAPTER (M.T.A.) - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS1367,6184,"22.2X15.9MM (3/4X1/2"")CPVC BRASS MTA  (P200)",No.s,133.00,PRICE PER NO.,REDUCING BRASS MALE THREADED ADAPTOR (M.T.A.),200,CPVC REDUCING MALE THREADED ADAPTER (M.T.A.) - BRASS INSERT,Ok
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS2668,6185,28.6X15.9MM(1X1/2)CPVC BRASS MTA (P75),No.s,238.00,PRICE PER NO.,REDUCING BRASS MALE THREADED ADAPTOR (M.T.A.),75,CPVC REDUCING MALE THREADED ADAPTER (M.T.A.) - BRASS INSERT,Ok
