Main Category,"AGRI/
PLUMBING & SANITATION",Product Segment,Material Group Description,Material Code ,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder,Sales Observations (Sachin)
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1169,1094,110MM 12.5KG/CM2 SELFIT (3 MTR),MTR,1145.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-12.5KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1233,1100,110MM 12.5KG/CM2 SELFIT (5 MTR),MTR,1145.00,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-12.5KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1157,1090,110MM 4KG/CM2 SELFIT (3 MTR),MTR,400.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-4KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1179,1097,110MM 6KG/CM2 SELFIT (5 MTR),MTR,581.00,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-6KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1166,1092,110MM 8KG/CM2 SELFIT (3 MTR),MTR,759.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-8KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1222,1098,110MM 8KG/CM2 SELFIT (5 MTR),MTR,759.00,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-8KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1366,1114,125MM 10KG/CM2 SELFIT,MTR,1204.00,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-10KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1367,1115,125MM 12.5KG/CM2 SELFIT,MTR,1455.50,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-12.5KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1357,1110,125MM 2.5KG/CM2 SELFIT,MTR,339.00,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-2.5KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1358,1111,125MM 4KG/CM2 SELFIT,MTR,530.00,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-4KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1359,1113,125MM 8KG/CM2 SELFIT,MTR,986.50,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-8KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1344,1120,140MM 10KG/CM2 SELFIT (3 MTR),MTR,1505.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-10KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1355,1121,140MM 12.5KG/CM2 SELFIT (3 MTR),MTR,1851.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-12.5KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1368,1127,140MM 12.5KG/CM2 SELFIT,MTR,1851.50,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-12.5KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1278,1116,140MM 2.5KG/CM2 SELFIT (3 MTR),MTR,417.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-2.5KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1335,1119,140MM 8KG/CM2 SELFIT (3 MTR),MTR,1249.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-8KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1345,1132,160MM 10KG/CM2 SLEFIT (3 MTR),MTR,1957.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-10KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1356,1133,160MM 12.5KG/CM2 SELFIT (3 MTR),MTR,2395.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-12.5KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1369,1139,160MM 12.5KG/CM2 SELFIT,MTR,2395.50,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-12.5KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1346,1144,180MM 10KG/CM2 SELFIT (3 MTR),MTR,2495.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-10KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1279,1140,180MM 2.5KG/CM2 SELFIT (3 MTR),MTR,701.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-2.5KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1299,1141,180MM 4KG/CM2 SELFIT (3 MTR),MTR,1104.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-4KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1336,1131,160MM 8KG/CM2 SELFIT PIPE (3 MTR),MTR,1624.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-8KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1347,1154,200MM 10KG/CM2 SELFIT (3 MTR),MTR,3083.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-10KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1337,1153,200MM 8KG/CM2 SELFIT (3MTR),MTR,2524.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-8KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1348,1169,250MM 10KG/CM2 SELFIT (3 MTR),MTR,5016.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-10KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1288,1165,250MM 2.5KG/CM2 SELFIT (3 MTR),MTR,1383.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-2.5KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1333,1167,250MM 6KG/CM2 SELFIT (3 MTR),MTR,3171.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-6KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1338,1168,250MM 8KG/CM2 SELFIT (3 MTR),MTR,4126.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-8KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1349,1184,315MM 10KG/CM2 SELFIT (3 MTR),MTR,7968.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-10KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1289,1180,315MM 2.5KG/CM2 SELFIT (3 MTR),MTR,2227.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-2.5KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1334,1182,315MM 6KG/CM2 SELFIT (3 MTR),MTR,5058.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-6KG,Changes
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,AH1339,1183,315MM 8KG/CM2 SELFIT (3 MTR),MTR,6499.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-8KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1223,1059,63MM 10KG/CM2 SELFIT (5 MTR),MTR,307.50,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-10KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1237,1065,63MM 12.5KG/CM2 SELFIT,MTR,381.50,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-12.5KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1168,1055,63MM 12.5KG/CM2 SELFIT (3 MTR),MTR,381.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-12.5KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1227,1060,63MM 12.5KG/CM2 SELFIT (5 MTR),MTR,381.50,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-12.5KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1234,1063,63MM 8KG/CM2 SELFIT,MTR,257.00,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-8KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1159,1053,63MM 8KG/CM2 SELFIT (3 MTR),MTR,257.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-8KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1188,1058,63MM 8KG/CM2 SELFIT (5 MTR),MTR,257.00,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-8KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1245,1066,75MM 4KG/CM2 SELFIT (3 MTR),MTR,197.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-4KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1224,1070,75MM 10KG/CM2 SELFIT (5 MTR),MTR,438.00,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-10KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1238,1076,75MM 12.5KG/CM2 SELFIT,MTR,534.00,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-12.5KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1228,1071,75MM 12.5KG/CM2 SELFIT (5 MTR),MTR,534.00,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-12.5KG,Changes
